Date,CPI
1990-02-01,128.0
1990-03-01,128.7
1990-04-01,128.9
1990-05-01,129.2
1990-06-01,129.9
1990-07-01,130.4
1990-08-01,131.6
1990-09-01,132.7
1990-10-01,133.5
1990-11-01,133.8
1990-12-01,133.8
1991-01-01,134.6
1991-02-01,134.8
1991-03-01,135.0
1991-04-01,135.2
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.2
1991-10-01,137.4
1991-11-01,137.8
1991-12-01,137.9
1992-01-01,138.1
1992-02-01,138.6
1992-03-01,139.3
1992-04-01,139.5
1992-05-01,139.7
1992-06-01,140.2
1992-07-01,140.5
1992-08-01,140.9
1992-09-01,141.3
1992-10-01,141.8
1992-11-01,142.0
1992-12-01,141.9
1993-01-01,142.6
1993-02-01,143.1
1993-03-01,143.6
1993-04-01,144.0
1993-05-01,144.2
1993-06-01,144.4
1993-07-01,144.4
1993-08-01,144.8
1993-09-01,145.1
1993-10-01,145.7
1993-11-01,145.8
1993-12-01,145.8
1994-01-01,146.2
1994-02-01,146.7
1994-03-01,147.2
1994-04-01,147.4
1994-05-01,147.5
1994-06-01,148.0
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.4
1994-10-01,149.5
1994-11-01,149.7
1994-12-01,149.7
1995-01-01,150.3
1995-02-01,150.9
1995-03-01,151.4
1995-04-01,151.9
1995-05-01,152.2
1995-06-01,152.5
1995-07-01,152.5
1995-08-01,152.9
1995-09-01,153.2
1995-10-01,153.7
1995-11-01,153.6
1995-12-01,153.5
1996-01-01,154.4
1996-02-01,154.9
1996-03-01,155.7
1996-04-01,156.3
1996-05-01,156.6
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.3
1996-09-01,157.8
1996-10-01,158.3
1996-11-01,158.6
1996-12-01,158.6
1997-01-01,159.1
1997-02-01,159.6
1997-03-01,160.0
1997-04-01,160.2
1997-05-01,160.1
1997-06-01,160.3
1997-07-01,160.5
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.6
1997-11-01,161.5
1997-12-01,161.3
1998-01-01,161.6
1998-02-01,161.9
1998-03-01,162.2
1998-04-01,162.5
1998-05-01,162.8
1998-06-01,163.0
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.6
1998-10-01,164.0
1998-11-01,164.0
1998-12-01,163.9
1999-01-01,164.3
1999-02-01,164.5
1999-03-01,165.0
1999-04-01,166.2
1999-05-01,166.2
1999-06-01,166.2
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.9
1999-10-01,168.2
1999-11-01,168.3
1999-12-01,168.3
2000-01-01,168.8
2000-02-01,169.8
2000-03-01,171.2
2000-04-01,171.3
2000-05-01,171.5
2000-06-01,172.4
2000-07-01,172.8
2000-08-01,172.8
2000-09-01,173.7
2000-10-01,174.0
2000-11-01,174.1
2000-12-01,174.0
2001-01-01,175.1
2001-02-01,175.8
2001-03-01,176.2
2001-04-01,176.9
2001-05-01,177.7
2001-06-01,178.0
2001-07-01,177.5
2001-08-01,177.5
2001-09-01,178.3
2001-10-01,177.7
2001-11-01,177.4
2001-12-01,176.7
2002-01-01,177.1
2002-02-01,177.8
2002-03-01,178.8
2002-04-01,179.8
2002-05-01,179.8
2002-06-01,179.9
2002-07-01,180.1
2002-08-01,180.7
2002-09-01,181.0
2002-10-01,181.3
2002-11-01,181.3
2002-12-01,180.9
2003-01-01,181.7
2003-02-01,183.1
2003-03-01,184.2
2003-04-01,183.8
2003-05-01,183.5
2003-06-01,183.7
2003-07-01,183.9
2003-08-01,184.6
2003-09-01,185.2
2003-10-01,185.0
2003-11-01,184.5
2003-12-01,184.3
2004-01-01,185.2
2004-02-01,186.2
2004-03-01,187.4
2004-04-01,188.0
2004-05-01,189.1
2004-06-01,189.7
2004-07-01,189.4
2004-08-01,189.5
2004-09-01,189.9
2004-10-01,190.9
2004-11-01,191.0
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.8
2005-03-01,193.3
2005-04-01,194.6
2005-05-01,194.4
2005-06-01,194.5
2005-07-01,195.4
2005-08-01,196.4
2005-09-01,198.8
2005-10-01,199.2
2005-11-01,197.6
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.9
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.4
2007-02-01,203.5
2007-03-01,205.4
2007-04-01,206.7
2007-05-01,207.9
2007-06-01,208.4
2007-07-01,208.3
2007-08-01,207.9
2007-09-01,208.5
2007-10-01,208.9
2007-11-01,210.2
2007-12-01,210.0
2008-01-01,211.1
2008-02-01,211.7
2008-03-01,213.5
